Sample_ID	Day	Hive	Site	Specimen	Treatment	S16S_log10
d27_Q7d	d27	Q7	Q	382	ProB	8.343281232
d27_Q7e	d27	Q7	Q	383	ProB	8.481605798
d27_Q7f	d27	Q7	Q	384	ProB	8.437174087
d27_Q7g	d27	Q7	Q	385	ProB	8.57747376
d27_Q8a	d27	Q8	Q	386	ProB	8.791749725
d27_Q8b	d27	Q8	Q	387	ProB	7.960964755
d27_Q8c	d27	Q8	Q	388	ProB	8.009501689
d27_Q8d	d27	Q8	Q	389	ProB	8.098044161
d27_Q8e	d27	Q8	Q	390	ProB	6.099303837
d27_Q8f	d27	Q8	Q	391	ProB	8.437635099
d27_Q8g	d27	Q8	Q	392	ProB	8.479026909
d27_Q9a	d27	Q9	Q	393	ProB	8.089910564
d27_Q9b	d27	Q9	Q	394	ProB	8.668213754
d27_Q9c	d27	Q9	Q	395	ProB	8.700494249
d27_Q9d	d27	Q9	Q	396	ProB	8.664854037
d27_Q9e	d27	Q9	Q	397	ProB	8.336257456
d27_Q9f	d27	Q9	Q	398	ProB	8.362837063
d27_Q9g	d27	Q9	Q	399	ProB	8.888302343
